id_major,id_university,type,major_name,capacity
1121086,112,science,AGROEKOTEKNOLOGI,80
1121094,112,science,AGRIBISNIS,60
1121105,112,science,BUDIDAYA PERAIRAN,48
1121113,112,science,PENDIDIKAN DOKTER,32
1121121,112,science,PENDIDIKAN FISIKA,48
1121136,112,science,PENDIDIKAN KIMIA,32
1121144,112,science,PENDIDIKAN MATEMATIKA,32
1121152,112,science,PENDIDIKAN TEKNIK MESIN,32
1121167,112,science,SISTEM INFORMASI,56
1121175,112,science,ILMU KELAUTAN,36
1121183,112,science,TEKNIK MATERIAL,32
1131011,113,science,TEKNIK SIPIL,60
1131026,113,science,TEKNIK MESIN,40
1131034,113,science,TEKNIK INDUSTRI,40
1131042,113,science,AGRIBISNIS,60
1131057,113,science,AGROTEKNOLOGI,60
1131065,113,science,PERIKANAN,60
1131073,113,science,KESEHATAN MASYARAKAT,75
1131081,113,science,AKUAKULTUR,30
1131096,113,science,SUMBER DAYA AKUATIK,30
1131107,113,science,TEKNOLOGI HASIL PERTANIAN,40
1131115,113,science,ILMU KELAUTAN,30
1141013,114,science,AGROTEKNOLOGI,32
1141021,114,science,AGRIBISNIS,32
1141036,114,science,BUDIDAYA PERAIRAN,32
1141044,114,science,PENDIDIKAN MATEMATIKA,16
1141052,114,science,PENDIDIKAN FISIKA,16
1141067,114,science,PENDIDIKAN KIMIA,16
1141075,114,science,PENDIDIKAN BIOLOGI,32
1141083,114,science,TEKNIK MESIN,32
1141091,114,science,TEKNIK SIPIL,32
1141102,114,science,TEKNIK INDUSTRI,16
1141117,114,science,TEKNIK INFORMATIKA,32
1141125,114,science,MATEMATIKA,16
1141133,114,science,FISIKA,16
1141141,114,science,KIMIA ,16
1141156,114,science,BIOLOGI,16
1161017,116,science,PENDIDIKAN TEKNIK ELEKTRO,28
1161025,116,science,PENDIDIKAN TEKNOLOGI INFORMATIKA,28
1161033,116,science,ARSITEKTUR,48
1161041,116,science,TEKNIK LINGKUNGAN,48
1161056,116,science,BIOLOGI,48
1161064,116,science,KIMIA,48
1161072,116,science,TEKNOLOGI INFORMASI,48
1211015,121,science,PENDIDIKAN DOKTER,82
1211023,121,science,TEKNIK SIPIL,51
1211031,121,science,TEKNIK MESIN,69
1211046,121,science,TEKNIK ELEKTRO,69
1211054,121,science,TEKNIK INDUSTRI,69
1211062,121,science,TEKNIK KIMIA,69
1211077,121,science,PENDIDIKAN DOKTER GIGI,82
1211085,121,science,MATEMATIKA,44
1211093,121,science,KIMIA,51
1211104,121,science,FARMASI,78
1211112,121,science,FISIKA,44
1211127,121,science,ILMU KESEHATAN MASYARAKAT,118
1211135,121,science,AGROEKOTEKNOLOGI,108
1211143,121,science,KETEKNIKAN PERTANIAN,36
1211151,121,science,BIOLOGI,44
1211166,121,science,AGRIBISNIS,66
1211174,121,science,ILMU DAN TEKNOLOGI PANGAN,36
1211182,121,science,PETERNAKAN,54
1211197,121,science,ARSITEKTUR,69
1211201,121,science,ILMU KEPERAWATAN,72
1211216,121,science,KEHUTANAN,82
1211232,121,science,ILMU KOMPUTER,54
1211247,121,science,TEKNOLOGI INFORMASI,54
1211255,121,science,MANAJEMEN SUMBER DAYA PERAIRAN,36
1211263,121,science,TEKNIK LINGKUNGAN,18
1221017,122,science,PENDIDIKAN MATEMATIKA,144
1221025,122,science,PENDIDIKAN BIOLOGI,70
1221033,122,science,PENDIDIKAN FISIKA,84
1221041,122,science,PENDIDIKAN KIMIA,84
1221056,122,science,PENDIDIKAN TEKNIK BANGUNAN,40
1221064,122,science,PENDIDIKAN TEKNIK MESIN,41
1221072,122,science,PENDIDIKAN TEKNIK ELEKTRO,41
1221087,122,science,KIMIA,36
1221095,122,science,BIOLOGI,54
1221106,122,science,ILMU KEOLAHRAGAAN,45
1221114,122,science,MATEMATIKA,41
1221122,122,science,FISIKA,18
1221137,122,science,PENDIDIKAN TEKNIK OTOMOTIF,41
1221145,122,science,GIZI,27
1221153,122,science,TEKNIK ELEKTRO,25
1221161,122,science,TEKNIK SIPIL,36
1221176,122,science,PENDIDIKAN TEKNOLOGI INFORMATIKA DAN KOMPUTER,41
1221184,122,science,ILMU KOMPUTER,36
1221192,122,science,PENDIDIKAN IPA,48
1231012,123,science,ILMU KOMPUTER,84
1231027,123,science,SISTEM INFORMASI,84
1231035,123,science,MATEMATIKA,56
1231043,123,science,BIOLOGI,56
1231051,123,science,FISIKA,42
1231066,123,science,ILMU KESEHATAN MASYARAKAT,160
1311016,131,science,FISIKA,48
1311024,131,science,KIMIA,48
1311032,131,science,MATEMATIKA,32
1311047,131,science,BIOLOGI,48
1311055,131,science,MANAJEMEN SUMBERDAYA PERAIRAN,48
1311063,131,science,BUDIDAYA PERAIRAN,48
1311071,131,science,ILMU KELAUTAN,48
1311086,131,science,TEKNOLOGI HASIL PERIKANAN,48
1311094,131,science,PEMANFAATAN SUMBERDAYA PERIKANAN,32
1311105,131,science,SOSIAL EKONOMI PERIKANAN,32
1311113,131,science,AGROTEKNOLOGI,80
1311121,131,science,SOSIAL EKONOMI PERTANIAN (AGRIBISNIS),64
1311136,131,science,TEKNOLOGI HASIL PERTANIAN,32
1311144,131,science,KEHUTANAN,32
1311152,131,science,TEKNIK SIPIL,48
1311167,131,science,TEKNIK KIMIA,48
1311175,131,science,TEKNIK MESIN,48
1311183,131,science,TEKNIK ELEKTRO,32
1311191,131,science,PEND. DOKTER ,48
1311202,131,science,ILMU KEPERAWATAN ,80
1311217,131,science,PEND. MATEMATIKA,32
1311225,131,science,PEND. BIOLOGI,32
1311233,131,science,PEND. FISIKA,32
1311241,131,science,PEND. KIMIA,32
1311256,131,science,TEKNIK LINGKUNGAN,32
1311264,131,science,TEKNIK ARSITEK,32
1311272,131,science,SISTEM INFORMASI,48
1311287,131,science,TEKNIK INFORMATIKA,32
1311295,131,science,TEKNOLOGI INDUSTRI PERTANIAN,16
1311306,131,science,STATISTIKA,16
1321011,132,science,ILMU PETERNAKAN,33
1321026,132,science,MATEMATIKA,20
1321034,132,science,SISTEM INFORMASI,20
1321042,132,science,TEKNIK ELEKTRO,20
1321057,132,science,TEKNIK INDUSTRI,20
1321065,132,science,TEKNIK INFORMATIKA,20
1321081,132,science,PENDIDIKAN MATEMATIKA,45
1321096,132,science,PENDIDIKAN KIMIA,30
1321107,132,science,ILMU PERTANIAN (AGROTEKNOLOGI),33
1321115,132,science,GIZI,20
1331013,133,science,TEKNIK ELEKTRO,28
1331021,133,science,TEKNIK INFORMATIKA,28
1331036,133,science,ILMU KELAUTAN,48
1331044,133,science,MANAJEMEN SUMBERDAYA PERAIRAN,48
1331052,133,science,PENDIDIKAN MATEMATIKA,36
1331067,133,science,PENDIDIKAN BIOLOGI,36
1331075,133,science,PENDIDIKAN KIMIA,24
1331083,133,science,BUDI DAYA PERAIRAN,32
1331091,133,science,TEKNOLOGI HASIL PERIKANAN,32
1331102,133,science,SOSIAL EKONOMI PERIKANAN,16
1411017,141,science,AGRIBISNIS,56
1411025,141,science,AGROEKOTEKNOLOGI,70
1411033,141,science,PENDIDIKAN DOKTER,100
1411041,141,science,ILMU KEPERAWATAN,72
1411056,141,science,ILMU KESEHATAN MASYARAKAT,60
1411064,141,science,PENDIDIKAN DOKTER GIGI,32
1411072,141,science,KIMIA,48
1411087,141,science,BIOLOGI,48
1411095,141,science,MATEMATIKA,40
1411106,141,science,FISIKA,48
1411114,141,science,SISTEM KOMPUTER,34
1411122,141,science,PETERNAKAN,140
1411137,141,science,TEKNIK MESIN,60
1411145,141,science,TEKNIK SIPIL,80
1411153,141,science,TEKNIK INDUSTRI,52
1411161,141,science,TEKNIK LINGKUNGAN,40
1411176,141,science,TEKNIK ELEKTRO,52
1411184,141,science,FARMASI,60
1411192,141,science,TEKNIK PERTANIAN,48
1411203,141,science,TEKNOLOGI HASIL PERTANIAN,48
1411211,141,science,SISTEM INFORMASI,32
1411226,141,science,PSIKOLOGI,48
1411234,141,science,ILMU TANAH,40
1411257,141,science,PETERNAKAN ( KAMPUS II PAYAKUMBUH),40
1411265,141,science,KEBIDANAN,20
1411273,141,science,GIZI,20
1411281,141,science,PROTEKSI TANAMAN,40
1411296,141,science,PENYULUHAN PERTANIAN,16
1411307,141,science,TEKNOLOGI INDUSTRI PERTANIAN,24
1421012,142,science,PENDIDIKAN MATEMATIKA,64
1421027,142,science,MATEMATIKA (NK),42
1421035,142,science,PENDIDIKAN BIOLOGI,64
1421043,142,science,BIOLOGI (NK),56
1421051,142,science,PENDIDIKAN FISIKA,72
1421066,142,science,FISIKA (NK),54
1421074,142,science,PENDIDIKAN KIMIA,64
1421082,142,science,KIMIA (NK),56
1421097,142,science,PENDIDIKAN TEKNIK BANGUNAN,26
1421101,142,science,PENDIDIKAN TEKNIK ELEKTRO,39
1421116,142,science,PENDIDIKAN TEKNIK ELEKTRONIKA,26
1421124,142,science,PENDIDIKAN TEKNIK MESIN,39
1421132,142,science,PENDIDIKAN TEKNIK OTOMOTIF,39
1421147,142,science,PEND. TEKNIK INFORMATIKA DAN KOMPUTER,39
1421155,142,science,ILMU KEOLAHRAGAAN (NK),100
1421163,142,science,TEKNIK PERTAMBANGAN (NK),16
1421171,142,science,TEKNIK ELEKTRO INDUSTRI (NK),39
1421186,142,science,PENDIDIKAN ILMU PENGETAHUAN ALAM,54
1421194,142,science,TEKNIK SIPIL,26
1421205,142,science,STATISTIKA (NK),18
1421213,142,science,TEKNIK MESIN (NK),26
1511011,151,science,PEND. KIMIA,54
1511026,151,science,PEND. MATEMATIKA,54
1511034,151,science,PEND. FISIKA,54
1511042,151,science,PEND. BIOLOGI,54
1511057,151,science,AGROEKOTEKNOLOGI,90
1511065,151,science,AGRIBISNIS,108
1511073,151,science,TEKNOLOGI HASIL PERTANIAN,54
1511115,151,science,PEND. OLAHRAGA & KESEHATAN,68
1511123,151,science,KEHUTANAN,90
1511131,151,science,PETERNAKAN,95
1511146,151,science,KEDOKTERAN,68
1511154,151,science,KIMIA,36
1511204,151,science,ILMU KEPERAWATAN,54
1511212,151,science,FARMASI,36
1511227,151,science,PEMANFAATAN SUMBERDAYA PERIKANAN,36
1511235,151,science,SISTEM INFORMASI,72
1511243,151,science,TEKNIK PERTAMBANGAN,36
1511251,151,science,TEKNIK GEOLOGI,32
1511266,151,science,BIOLOGI,32
1511274,151,science,FISIKA,18
1511282,151,science,MATEMATIKA,32
1511297,151,science,ILMU KESEHATAN MASYARAKAT,135
1511301,151,science,TEKNIK LINGKUNGAN,23
1511316,151,science,KEPELATIHAN OLAHRAGA,68
1511324,151,science,TEKNIK ELEKTRO,23
1511332,151,science,TEKNIK GEOFISIKA,18
1511347,151,science,TEKNIK KIMIA,23
1511355,151,science,TEKNIK SIPIL,23
1511363,151,science,TEKNIK PERTANIAN,36
1511371,151,science,TEKNOLOGI INDUSTRI PERTANIAN,36
1611012,161,science,AGROEKOTEKNOLOGI,65
1611027,161,science,KEHUTANAN,50
1611035,161,science,PETERNAKAN,60
1611043,161,science,AGRIBISNIS,50
1611051,161,science,TEKNOLOGI INDUSTRI PERTANIAN,65
1611066,161,science,PENDIDIKAN FISIKA,40
1611074,161,science,PENDIDIKAN BIOLOGI,40
1611082,161,science,PENDIDIKAN KIMIA,20
1611097,161,science,PENDIDIKAN MATEMATIKA,40
1611101,161,science,MATEMATIKA,40
1611116,161,science,FISIKA,40
1611124,161,science,BIOLOGI,40
1611132,161,science,KIMIA,40
1611147,161,science,TEKNIK INFORMATIKA,50
1611155,161,science,TEKNIK SIPIL,50
1611163,161,science,TEKNIK MESIN,50
1611171,161,science,TEKNIK ELEKTRO,50
1611186,161,science,ILMU KELAUTAN,45
1611194,161,science,PENDIDIKAN DOKTER,33
1611205,161,science,ILMU TANAH,25
1611213,161,science,STATISTIKA,20
1611221,161,science,ARSITEKTUR,25
1611236,161,science,SISTEM INFORMASI,25
1611244,161,science,PROTEKSI TANAMAN,25
1611252,161,science,FARMASI,15
1611267,161,science,GEOFISIKA,20
1611275,161,science,PENDIDIKAN IPA,40
1711013,171,science,TEKNIK SIPIL,70
1711021,171,science,TEKNIK PERTAMBANGAN,60
1711036,171,science,TEKNIK KIMIA,70
1711044,171,science,TEKNIK MESIN,70
1711052,171,science,TEKNIK ELEKTRO,70
1711067,171,science,PENDIDIKAN DOKTER,125
1711075,171,science,PENDIDIKAN DOKTER GIGI,40
1711083,171,science,MATEMATIKA,60
1711091,171,science,FISIKA,60
1711102,171,science,KIMIA,60
1711117,171,science,BIOLOGI,60
1711125,171,science,AGRIBISNIS,100
1711133,171,science,TEKNOLOGI HASIL PERTANIAN ,50
1711141,171,science,TEKNIK PERTANIAN,50
1711164,171,science,PEND. MATEMATIKA,40
1711172,171,science,PEND BIOLOGI,40
1711187,171,science,PEND. KIMIA,40
1711195,171,science,PEND FISIKA,40
1711206,171,science,ILMU KESEHATAN MASYARAKAT,110
1711214,171,science,ARSITEKTUR,45
1711222,171,science,ILMU KELAUTAN,60
1711237,171,science,BUDIDAYA PERAIRAN,50
1711245,171,science,TEKNOLOGI HASIL PERIKANAN,50
1711253,171,science,ILMU KEPERAWATAN,60
1711261,171,science,PEND TEKNIK MESIN,47
1711276,171,science,SISTEM KOMPUTER,83
1711284,171,science,TEKNIK INFORMATIKA,83
1711292,171,science,SISTEM INFORMASI,83
1711303,171,science,AGROEKOTEKNOLOGI,50
1711311,171,science,PETERNAKAN,50
1711326,171,science,FARMASI,60
1711334,171,science,TEKNIK GEOLOGI,40
1711342,171,science,PSIKOLOGI,40
1711357,171,science,ILMU TANAH,50
1711365,171,science,AGRONOMI,50
1711373,171,science,PROTEKSI TANAMAN,50
1711381,171,science,GIZI,50
1711396,171,science,KESEHATAN LINGKUNGAN,50
1721015,172,science,PENDIDIKAN MATEMATIKA,36
1721023,172,science,PENDIDIKAN BIOLOGI,48
1721046,172,science,KIMIA,14
1721054,172,science,BIOLOGI,14
1721062,172,science,PENDIDIKAN FISIKA,24
1721077,172,science,PENDIDIKAN KIMIA,24
1811014,181,science,TEKNIK MESIN,14
1811022,181,science,TEKNIK ELEKTRO,32
1811037,181,science,TEKNIK PERTAMBANGAN,17
1811045,181,science,TEKNIK SIPIL,35
1811053,181,science,AGROTEKNOLOGI,35
1811061,181,science,MANAJEMEN SUMBERDAYA PERAIRAN,25
1811076,181,science,BIOLOGI,16
1811084,181,science,AGRIBISNIS,35
1811092,181,science,BUDIDAYA PERAIRAN,30
1811103,181,science,ILMU KELAUTAN,14
1811111,181,science,KIMIA,14
1811126,181,science,FISIKA,14
1811134,181,science,MATEMATIKA,12
1911015,191,science,AGROTEKNOLOGI,31
1911023,191,science,AGRIBISNIS,54
1911031,191,science,TEKNIK GEOFISIKA,44
1911046,191,science,TEKNIK SIPIL,66
1911054,191,science,KIMIA,63
1911062,191,science,BIOLOGI,45
1911077,191,science,TEKNOLOGI HASIL PERTANIAN,45
1911085,191,science,PETERNAKAN,31
1911093,191,science,KEHUTANAN,67
1911104,191,science,TEKNIK PERTANIAN,45
1911112,191,science,MATEMATIKA,63
1911127,191,science,FISIKA,63
1911135,191,science,TEKNIK MESIN,44
1911143,191,science,TEKNIK ELEKTRO,66
1911151,191,science,PEND. MATEMATIKA,36
1911166,191,science,PEND. FISIKA,36
1911174,191,science,PEND. KIMIA,36
1911182,191,science,PEND. BIOLOGI,36
1911197,191,science,TEKNIK KIMIA,66
1911201,191,science,PEND. KEDOKTERAN,65
1911216,191,science,BUDIDAYA PERAIRAN,31
1911224,191,science,ILMU KOMPUTER,45
1911232,191,science,ARSITEKTUR,28
1911247,191,science,TEKNIK GEODESI,28
1911255,191,science,TEKNIK INFORMATIKA,44
1911263,191,science,SUMBERDAYA AKUATIK,31
1911271,191,science,ILMU TANAH,27
1911286,191,science,AGRONOMI,45
1911294,191,science,PROTEKSI TANAMAN,27
1911305,191,science,PENYULUHAN PERTANIAN,45
1911313,191,science,ILMU KELAUTAN,27
1911321,191,science,TEKNOLOGI INDUSTRI PERTANIAN,27
1911336,191,science,NUTRISI DAN TEKNOLOGI PANGAN TERNAK,31
1911344,191,science,PENDIDIKAN VOKASIONAL TEKNOLOGI INFORMASI,14
1911352,191,science,FARMASI,32
1911367,191,science,BIOLOGI TERAPAN,18
1921017,192,science,TEKNIK GEOMATIKA,73
1921025,192,science,TEKNIK ELEKTRO,88
1921033,192,science,PERENCANAAN WILAYAH DAN KOTA,117
1921041,192,science,TEKNIK GEOFISIKA,102
1921056,192,science,TEKNIK SIPIL,117
1921064,192,science,TEKNIK INFORMATIKA,117
1921072,192,science,FISIKA,44
1921087,192,science,ARSITEKTUR,88
1921095,192,science,TEKNIK LINGKUNGAN,88
1921106,192,science,TEKNIK GEOLOGI,59
1921114,192,science,MATEMATIKA,59
1921122,192,science,TEKNIK MESIN,59
1921145,192,science,BIOLOGI,44
1921153,192,science,TEKNIK INDUSTRI,88
1921161,192,science,FARMASI,73
1921176,192,science,TEKNIK KIMIA,59
1921184,192,science,KIMIA,59
1921192,192,science,TEKNIK FISIKA,59
1921203,192,science,TEKNIK KELAUTAN,59
1921211,192,science,SAINS ATMOSFIR DAN KEPLANETAN,59
1921226,192,science,TEKNIK BIOSISTEM,44
1921234,192,science,TEKNOLOGI INDUSTRI PERTANIAN,59
1921242,192,science,TEKNIK SISTEM ENERGI,59
1921257,192,science,TEKNOLOGI PANGAN,59
1921265,192,science,TEKNIK MATERIAL,59
1921273,192,science,TEKNIK PERTAMBANGAN,59
1921281,192,science,ARSITEKTUR LANSKAP,59
1921296,192,science,DESAIN KOMUNIKASI VISUAL,59
3111014,311,science,TEKNIK MESIN,48
3111022,311,science,TEKNIK ELEKTRO,48
3111037,311,science,TEKNIK INDUSTRI,48
3111045,311,science,TEKNIK METALURGI,48
3111053,311,science,TEKNIK KIMIA,48
3111061,311,science,TEKNIK SIPIL,32
3111076,311,science,AGRIBISNIS,80
3111084,311,science,AGROEKOTEKNOLOGI,80
3111092,311,science,PERIKANAN,48
3111103,311,science,PENDIDIKAN BIOLOGI,48
3111111,311,science,PENDIDIKAN MATEMATIKA,48
3111126,311,science,PENDIDIKAN TEKNIK ELEKTRO,32
3111134,311,science,PENDIDIKAN TEKNIK MESIN,32
3111142,311,science,PENDIDIKAN FISIKA,32
3111157,311,science,PENDIDIKAN KIMIA,32
3111165,311,science,PENDIDIKAN IPA,32
3111173,311,science,TEKNOLOGI PANGAN,48
3111181,311,science,ILMU KEOLAHRAGAAN,16
3111196,311,science,GIZI,16
3211015,321,science,PENDIDIKAN DOKTER,72
3211023,321,science,PENDIDIKAN DOKTER GIGI,48
3211031,321,science,MATEMATIKA,28
3211046,321,science,FISIKA,40
3211054,321,science,KIMIA,40
3211062,321,science,BIOLOGI,40
3211077,321,science,FARMASI,52
3211085,321,science,GEOGRAFI,40
3211093,321,science,TEKNIK SIPIL,36
3211104,321,science,TEKNIK MESIN,32
3211112,321,science,TEKNIK ELEKTRO,40
3211127,321,science,TEKNIK METALURGI & MATERIAL,36
3211135,321,science,ARSITEKTUR,24
3211143,321,science,TEKNIK KIMIA,36
3211151,321,science,ILMU KEPERAWATAN,48
3211166,321,science,ILMU KOMPUTER,60
3211174,321,science,ILMU KESEHATAN MASYARAKAT,60
3211182,321,science,TEKNIK INDUSTRI,48
3211197,321,science,TEKNIK PERKAPALAN,24
3211201,321,science,TEKNIK LINGKUNGAN,28
3211216,321,science,TEKNIK KOMPUTER,32
3211224,321,science,SISTEM INFORMASI,60
3211232,321,science,ARSITEKTUR INTERIOR,20
3211247,321,science,TEKNOLOGI BIOPROSES,24
3211255,321,science,GIZI,24
3211263,321,science,KESEHATAN LINGKUNGAN,20
3211271,321,science,KESELAMATAN DAN KESEHATAN KERJA,20
3211286,321,science,GEOFISIKA,28
3211294,321,science,GEOLOGI,28
3211305,321,science,STATISTIKA,24
3211313,321,science,AKTUARIA,20
3211321,321,science,TEKNIK BIOMEDIS,16
3221017,322,science,SOSIAL EKONOMI PERTANIAN / AGRIBISNIS,52
3221025,322,science,TEKNIK INFORMATIKA,52
3221033,322,science,SISTEM INFORMASI,52
3221041,322,science,MATEMATIKA,32
3221056,322,science,BIOLOGI,48
3221064,322,science,KIMIA,48
3221072,322,science,FISIKA,40
3221087,322,science,KESEHATAN MASYARAKAT,48
3221095,322,science,FARMASI,44
3221106,322,science,ILMU KEPERAWATAN,40
3221114,322,science,PENDIDIKAN DOKTER,40
3221122,322,science,PENDIDIKAN MATEMATIKA,39
3221145,322,science,PENDIDIKAN KIMIA,39
3221161,322,science,TEKNIK PERTAMBANGAN,16
3231012,323,science,PENDIDIKAN MATEMATIKA,20
3231027,323,science,PENDIDIKAN FISIKA,40
3231035,323,science,PENDIDIKAN KIMIA,40
3231043,323,science,PENDIDIKAN BIOLOGI,40
3231051,323,science,MATEMATIKA,20
3231066,323,science,FISIKA,40
3231074,323,science,KIMIA,23
3231082,323,science,BIOLOGI,40
3231097,323,science,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,30
3231101,323,science,PENDIDIKAN VOKASIONAL TEKNIK MESIN,45
3231116,323,science,PENDIDIKAN VOKASIONAL KONSTRUKSI  BANGUNAN,43
3231124,323,science,ILMU KEOLAHRAGAAN,30
3231132,323,science,PENDIDIKAN INFORMATIKA,45
3231147,323,science,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRONIKA,40
3231155,323,science,ILMU KOMPUTER,20
3231163,323,science,STATISTIKA,20
3231171,323,science,REKAYASA KESELAMATAN KEBAKARAN,20
3241014,324,science,TEKNIK MESIN,53
3241022,324,science,TEKNIK PERKAPALAN,35
3241037,324,science,TEKNIK INDUSTRI,53
3241045,324,science,INFORMATIKA,75
3241053,324,science,SISTEM INFORMASI,75
3241061,324,science,KEDOKTERAN,75
3241076,324,science,KEPERAWATAN,40
3241084,324,science,KESEHATAN MASYARAKAT,70
3241092,324,science,GIZI,53
3241103,324,science,TEKNIK ELEKTRO,20
3241111,324,science,FARMASI,15
3311016,331,science,AGROTEKNOLOGI,79
3311024,331,science,TEKNIK INDUSTRI,111
3311032,331,science,TEKNIK MESIN,111
3311047,331,science,TEKNIK ELEKTRO,79
3311055,331,science,TEKNIK INFORMATIKA,111
3311063,331,science,PEND. MATEMATIKA,95
3311071,331,science,AGRIBISNIS,63
3311086,331,science,FARMASI,40
3311094,331,science,GIZI,32
3311105,331,science,TEKNIK KIMIA,32
3311113,331,science,ILMU KEOLAHRAGAAN,32
3321011,332,science,FAK. ILMU DAN TEKNOLOGI KEBUMIAN (FITB),112
3321026,332,science,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM),136
3321034,332,science,FAK. MATEMATIKA & ILMU PENGET. ALAM (FMIPA),180
3321042,332,science,FAKULTAS TEKNIK SIPIL & LINGKUNGAN (FTSL)  - KAMPUS GANESA,136
3321057,332,science,SEKOLAH FARMASI (SF),60
3321065,332,science,SEKOLAH ILMU & TEKNO. HAYATI - PROG. SAINS,64
3321073,332,science,SEKOLAH TEK. ELEKTRO & INFORMATIKA (STEI),238
3321081,332,science,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS GANESA,144
3321096,332,science,FAKULTAS TEKNIK MESIN & DIRGANTARA (FTMD),120
3321107,332,science,"SEK. ARSITEKTUR, PERENC & PENGEMB KEBIJAKAN",68
3321123,332,science,SEKOLAH ILMU & TEKNO HAYATI - PROG REKAYASA,80
3321131,332,science,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN (FTSL) - KAMPUS JATINANGOR,32
3321146,332,science,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS JATINANGOR,32
3321154,332,science,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS CIREBON,20
3321162,332,science,"SEK. ARSITEKTUR, PERENC &AMP PENGEMB KEBIJAKAN (SAPPK) - KAMPUS CIREBON",14
3331013,333,science,PENDIDIKAN DOKTER,125
3331021,333,science,MATEMATIKA,50
3331036,333,science,KIMIA,50
3331044,333,science,FISIKA,40
3331052,333,science,BIOLOGI,60
3331067,333,science,STATISTIKA,50
3331075,333,science,AGROTEKNOLOGI,150
3331083,333,science,AGRIBISNIS,70
3331091,333,science,PENDIDIKAN DOKTER GIGI,70
3331102,333,science,ILMU PETERNAKAN,200
3331117,333,science,PERIKANAN,80
3331125,333,science,ILMU KEPERAWATAN,70
3331133,333,science,ILMU KELAUTAN,50
3331141,333,science,TEKNOLOGI  PANGAN,60
3331156,333,science,TEKNIK PERTANIAN,50
3331164,333,science,FARMASI,80
3331172,333,science,TEKNIK GEOLOGI,80
3331187,333,science,PSIKOLOGI,80
3331195,333,science,GEOFISIKA,30
3331206,333,science,TEKNIK INFORMATIKA,40
3331214,333,science,TEKNOLOGI INDUSTRI PERTANIAN,30
3331222,333,science,TEKNIK ELEKTRO,30
3331237,333,science,KEDOKTERAN HEWAN,25
3331284,333,science,ILMU AKTUARIA,35
3331292,333,science,KEPERAWATAN PSDKU GARUT,30
3331303,333,science,PERIKANAN PSDKU PANGANDARAN,30
3331311,333,science,PETERNAKAN PSDKU PANGANDARAN,30
3331326,333,science,KEPERAWATAN PSDKU PANGANDARAN,30
3341015,334,science,PENDIDIKAN MATEMATIKA,41
3341023,334,science,PENDIDIKAN FISIKA,41
3341031,334,science,PENDIDIKAN BIOLOGI,41
3341046,334,science,PENDIDIKAN KIMIA,41
3341054,334,science,PENDIDIKAN ILMU KOMPUTER,41
3341062,334,science,MATEMATIKA,41
3341077,334,science,FISIKA,21
3341085,334,science,BIOLOGI,21
3341093,334,science,KIMIA,36
