university_name,major_name,capacity
Universitas Riau,Pend. Sejarah,32
Universitas Riau,"Pend. Bahasa, Sastra Indoneia & Daerah",32
Universitas Riau,Pend. Bhs. Inggris,48
Universitas Riau,Pend. Bahasa Jepang,16
Universitas Riau,Pend. Luar Sekolah,32
Universitas Riau,Bimbingan Konseling,16
Universitas Riau,Pend Jasmani Kesehatan & Rekreasi,32
Universitas Riau,Pend Kepelatihan Olahraga,32
Universitas Riau,Pgsd,48
Universitas Riau,Paud,32
Universitas Islam Negeri Sultan Syarif Kasim,Akuntansi,45
Universitas Islam Negeri Sultan Syarif Kasim,Ilmu Administrasi Negara,45
Universitas Islam Negeri Sultan Syarif Kasim,Manajemen,45
Universitas Islam Negeri Sultan Syarif Kasim,Psikologi,45
Universitas Islam Negeri Sultan Syarif Kasim,Ilmu Hukum,75
Universitas Islam Negeri Sultan Syarif Kasim,Pendidikan Ekonomi,45
Universitas Islam Negeri Sultan Syarif Kasim,Ilmu Komunikasi,45
Universitas Islam Negeri Sultan Syarif Kasim,Pendidikan Bahasa Indonesia,30
Universitas Islam Negeri Sultan Syarif Kasim,Pendidikan Geografi,30
Universitas Maritim Raja Ali Haji,Pendidikan Bahasa Indonesia,48
Universitas Maritim Raja Ali Haji,Akuntansi,48
Universitas Maritim Raja Ali Haji,Ilmu Administrasi Negara,48
Universitas Maritim Raja Ali Haji,Ilmu Pemerintahan,32
Universitas Maritim Raja Ali Haji,Sosiologi,40
Universitas Maritim Raja Ali Haji,Pendidikan Bahasa Inggris,36
Universitas Maritim Raja Ali Haji,Manajemen,48
Universitas Maritim Raja Ali Haji,Ilmu Hukum,48
Universitas Maritim Raja Ali Haji,Ilmu Hubungan Internasional,16
Universitas Andalas,Ekonomi Pembangunan,48
Universitas Andalas,Ilmu Hukum,200
Universitas Andalas,Ilmu Sejarah,32
Universitas Andalas,Sosiologi,48
Universitas Andalas,Antropologi Sosial,40
Universitas Andalas,Manajemen,64
Universitas Andalas,Akuntansi,64
Universitas Andalas,Ilmu Politik,40
Universitas Andalas,Ilmu Administrasi Negara,40
Universitas Andalas,Sastra Indonesia,36
Universitas Andalas,Sastra Inggris,36
Universitas Andalas,Sastra Daerah Minangkabau,32
Universitas Andalas,Sastra Jepang,28
Universitas Andalas,Ilmu Hubungan Internasional,48
Universitas Andalas,Ilmu Komunikasi,40
Universitas Andalas,Manajemen (Kampus 2 Payakumbuh),24
Universitas Andalas,Ekonomi Pembangunan (Kampus 2 Payakumbuh),24
Universitas Negeri Padang,Administrasi Pendidikan,56
Universitas Negeri Padang,Pendidikan Luar Biasa,64
Universitas Negeri Padang,Teknologi Pendidikan,48
Universitas Negeri Padang,Pendidikan Luar Sekolah,60
Universitas Negeri Padang,Bimbingan Dan Konseling,80
Universitas Negeri Padang,Psikologi,120
Universitas Negeri Padang,Pgsd (Pendidikan Guru Sekolah Dasar),100
Universitas Negeri Padang,Pend. Guru Pendidikan Anak Usia Dini,80
Universitas Negeri Padang,Pendd. Bhs & Sast. Indo. & Daerah,72
Universitas Negeri Padang,Bahasa & Sastra Indonesia (Nk),48
Universitas Negeri Padang,Pendd. Bhs Inggris,60
Universitas Negeri Padang,Bahasa & Sastra Inggris (Nk),36
Universitas Negeri Padang,Pendidikan Seni Rupa,40
Universitas Negeri Padang,Pendidikan Sendratasik,64
Universitas Negeri Padang,Pendidikan Geografi,60
Universitas Negeri Padang,Pendidikan Sejarah,80
Universitas Negeri Padang,Pendidikan Sosiologi Antropologi,48
Universitas Negeri Padang,Pend. Pancasila & Kewarganegaraan (Ppkn),48
Universitas Negeri Padang,Ilmu Administrasi Negara (Nk),48
Universitas Negeri Padang,Pendidikan Ekonomi,36
Universitas Negeri Padang,Manajemen (Nk),64
Universitas Negeri Padang,Akuntansi (Nk),36
Universitas Negeri Padang,Ekonomi Pembangunan (Nk),36
Universitas Negeri Padang,Pendd. Kesejahteraan Keluarga,64
Universitas Negeri Padang,Tata Rias Dan Kecantikan (Nk),48
Universitas Negeri Padang,Penjaskesrek,180
Universitas Negeri Padang,Pendd. Kepelatihan Olahraga,120
Universitas Negeri Padang,Geografi (Nk),60
Universitas Negeri Padang,Manajemen Perhotelan (Nk),79
Universitas Negeri Padang,Disain Kom. Visual (Nk),50
Universitas Negeri Padang,Pendidikan Bahasa Jepang,28
Universitas Negeri Padang,Pendidikan Musik,24
Universitas Negeri Padang,Pendidikan Keagamaan Islam,80
Universitas Negeri Padang,Perpustakaan Dan Ilmu Informasi,32
Isi Padang Panjang,Seni Musik,40
Isi Padang Panjang,Seni Kriya,27
Isi Padang Panjang,Tv Dan Film,54
Isi Padang Panjang,Fotografi,54
Isi Padang Panjang,Desain Dan Komunikasi Visual,54
Isi Padang Panjang,Antropologi Budaya,27
Universitas Jambi,Pend. Ekonomi,54
Universitas Jambi,"Pend. Bahasa, Sastra Indonesia & Daerah",72
Universitas Jambi,Pend. Bahasa Inggris,72
Universitas Jambi,Ilmu Hukum,248
Universitas Jambi,Ilmu Ekonomi Pembangunan,90
Universitas Jambi,Manajemen,90
Universitas Jambi,Akuntansi,72
Universitas Jambi,Pend. Guru Sekolah Dasar,90
Universitas Jambi,Bimbingan Dan Konseling,72
Universitas Jambi,Pendidikan Bahasa Arab,36
Universitas Jambi,Pendidikan Sejarah,36
Universitas Jambi,Sastra Indonesia,36
Universitas Jambi,Psikologi,45
Universitas Jambi,Ilmu Pemerintahan,72
Universitas Jambi,Ekonomi Islam,36
Universitas Jambi,Arkeologi,36
Universitas Jambi,Ilmu Sejarah,36
Universitas Jambi,Administrasi Pendidikan,54
Universitas Jambi,Ilmu Politik,54
Universitas Jambi,Seni Drama Tari Dan Musik,36
Universitas Bengkulu,Ilmu Hukum,225
Universitas Bengkulu,Ilmu Kesejahteraan Sosial,35
Universitas Bengkulu,Ekonomi Pembangunan,60
Universitas Bengkulu,Manajemen,90
Universitas Bengkulu,Ilmu Administrasi Negara,50
Universitas Bengkulu,Sosiologi,30
Universitas Bengkulu,Ilmu Komunikasi,50
Universitas Bengkulu,Akuntansi,100
Universitas Bengkulu,Pendidikan Luar Sekolah,40
Universitas Bengkulu,Pendidikan Bahasa Dan Sastra Indonesia,60
Universitas Bengkulu,Pendidikan Bahasa Inggris,60
Universitas Bengkulu,Pendidikan Guru Sekolah Dasar,40
Universitas Bengkulu,Pendidikan Guru Pendidikan Anak Usia Dini,40
Universitas Bengkulu,Pendidikan Jasmani Dan Kesehatan,40
Universitas Bengkulu,Bimbingan Dan Konseling,40
Universitas Bengkulu,Ilmu Perpustakaan,35
Universitas Bengkulu,Jurnalistik,45
Universitas Sriwijaya,Ekonomi Pembangunan ,100
Universitas Sriwijaya,Ilmu Hukum,243
Universitas Sriwijaya,Manajemen,100
Universitas Sriwijaya,Akuntansi,100
Universitas Sriwijaya,Ilmu Adm Negara,125
Universitas Sriwijaya,Sosiologi,100
Universitas Sriwijaya,Ppkn,40
Universitas Sriwijaya,Pend Sejarah,40
Universitas Sriwijaya,Pend Ekonomi,40
Universitas Sriwijaya,"Pend Bhs, Satra Ind & Daerah",40
Universitas Sriwijaya,Pend Bhs Inggris,40
Universitas Sriwijaya,Penjaskes,40
Universitas Sriwijaya,Bimb & Konseling,47
Universitas Sriwijaya,Pgsd,40
Universitas Sriwijaya,Paud,47
Universitas Sriwijaya,Ilmu Komunikasi,125
Universitas Sriwijaya,Pendidikan Luar Sekolah,47
Universitas Sriwijaya,Ilmu Hubungan Internasional,125
Universitas Islam Negeri Raden Fatah,Ilmu Politik,32
Universitas Islam Negeri Raden Fatah,Ilmu Perpustakaan,35
Universitas Islam Negeri Raden Fatah,Ilmu Komunikasi,32
Universitas Bangka Belitung,Akuntansi,53
Universitas Bangka Belitung,Manajemen,46
Universitas Bangka Belitung,Ilmu Hukum,48
Universitas Bangka Belitung,Sosiologi,20
Universitas Bangka Belitung,Sastra Inggris,20
Universitas Bangka Belitung,Ilmu Politik,20
Universitas Lampung,Hukum,249
Universitas Lampung,Sosiologi,50
Universitas Lampung,Ilmu Pemerintahan,50
Universitas Lampung,Manajemen,60
Universitas Lampung,Iesp,45
Universitas Lampung,Akuntansi,50
Universitas Lampung,Ilmu Komunikasi,50
Universitas Lampung,Ilmu Adm. Negara,50
Universitas Lampung,Ilmu Adm. Niaga/Bisnis,50
Universitas Lampung,Ppkn,36
Universitas Lampung,Pend. Sejarah,36
Universitas Lampung,Pend. Geografi,36
Universitas Lampung,Pend. Ekonomi,36
Universitas Lampung,Penjaskesrek,39
Universitas Lampung,Bimb. Konseling,36
Universitas Lampung,Pend. Bahasa Indonesia,36
Universitas Lampung,Pend. B. Inggris,36
Universitas Lampung,Pgsd,90
Universitas Lampung,"Pend. Seni Drama,Tari&Musik",27
Universitas Lampung,Pendidikan Anak Usia Dini,36
Universitas Lampung,Hubungan Internasional,50
Universitas Lampung,Bahasa Perancis,18
Universitas Lampung,Pendidikan Musik,27
Universitas Sultan Ageng Tirtayasa,Ilmu Hukum,160
Universitas Sultan Ageng Tirtayasa,Manajemen,56
Universitas Sultan Ageng Tirtayasa,Akuntansi,56
Universitas Sultan Ageng Tirtayasa,Ekonomi Pembangunan,32
Universitas Sultan Ageng Tirtayasa,Administrasi Negara,64
Universitas Sultan Ageng Tirtayasa,Ilmu Komunikasi,80
Universitas Sultan Ageng Tirtayasa,Pendidikan Luar Sekolah,48
Universitas Sultan Ageng Tirtayasa,Pendidikan Bahasa Indonesia,48
Universitas Sultan Ageng Tirtayasa,Pendidikan Bahasa Inggris,48
Universitas Sultan Ageng Tirtayasa,Pendidikan Guru Sekolah Dasar,48
Universitas Sultan Ageng Tirtayasa,Pendidikan Anak Usia Dini,32
Universitas Sultan Ageng Tirtayasa,Ekonomi Islam,16
Universitas Sultan Ageng Tirtayasa,Pendidikan Sosiologi,32
Universitas Sultan Ageng Tirtayasa,Pendidikan Sejarah,32
Universitas Sultan Ageng Tirtayasa,Pendidikan Kewarganegaraan,32
Universitas Sultan Ageng Tirtayasa,"Pendidikan Seni Drama, Tari, Dan Musik",32
Universitas Sultan Ageng Tirtayasa,Pendidikan Konseling,32
Universitas Sultan Ageng Tirtayasa,Pendidikan Luar Biasa,32
Universitas Sultan Ageng Tirtayasa,Ilmu Pemerintahan,48
Universitas Indonesia,Ilmu Hukum,167
Universitas Indonesia,Arkeologi Indonesia,24
Universitas Indonesia,Ilmu Sejarah,24
Universitas Indonesia,Ilmu Psikologi,80
Universitas Indonesia,Ilmu Komunikasi,40
Universitas Indonesia,Ilmu Politik,21
Universitas Indonesia,Ilmu Administrasi Negara,28
Universitas Indonesia,Kriminologi,24
Universitas Indonesia,Sosiologi,26
Universitas Indonesia,Ilmu Kesejahteraan Sosial,24
Universitas Indonesia,Antropologi Sosial,24
Universitas Indonesia,Ilmu Ekonomi,40
Universitas Indonesia,Ilmu Administrasi Niaga,28
Universitas Indonesia,Ilmu Administrasi Fiskal,28
Universitas Indonesia,Manajemen,84
Universitas Indonesia,Akuntansi,79
Universitas Indonesia,Ilmu Hubungan Internasional,22
Universitas Indonesia,Ilmu Perpustakaan,24
Universitas Indonesia,Ilmu Filsafat,24
Universitas Indonesia,Sastra Indonesia,24
Universitas Indonesia,Sastra Daerah Untuk Sastra Jawa,20
Universitas Indonesia,Sastra Jepang,20
Universitas Indonesia,Sastra Cina,20
Universitas Indonesia,Sastra Arab,20
Universitas Indonesia,Sastra Perancis,15
Universitas Indonesia,Sastra Inggris,20
Universitas Indonesia,Sastra Jerman,20
Universitas Indonesia,Sastra Belanda,20
Universitas Indonesia,Sastra Rusia,20
Universitas Indonesia,Bahasa Dan Kebudayaan Korea,15
Universitas Indonesia,Ilmu Ekonomi Islam,16
Universitas Indonesia,Bisnis Islam,18
Universitas Singaperbangsa Karawang,Ilmu Hukum,126
Universitas Singaperbangsa Karawang,Manajemen,126
Universitas Singaperbangsa Karawang,Akuntansi,111
Universitas Singaperbangsa Karawang,Pend. Luar Sekolah,48
Universitas Singaperbangsa Karawang,Pend. Bahasa Inggris,111
Universitas Singaperbangsa Karawang,"Pend. Jasmani, Kesehatan Dan Rekreasi",111
Universitas Singaperbangsa Karawang,Pend. Bahasa Dan Sastra Indonesia,95
Universitas Singaperbangsa Karawang,Ilmu Pemerintahan,95
Universitas Singaperbangsa Karawang,Ilmu Komunikasi,95
Institut Teknologi Bandung,Fakultas Senirupa Dan Desain (Fsrd),100
Institut Teknologi Bandung,Sekolah Bisnis Dan Manajemen (Sbm),96
Institut Teknologi Bandung,Fakultas Senirupa Dan Desain (Fsrd) - Kampus Cirebon,12
Universitas Padjadjaran,Ilmu Hukum,180
Universitas Padjadjaran,Akuntansi,68
Universitas Padjadjaran,Ekonomi  Pembangunan,40
Universitas Padjadjaran,Manajemen,40
Universitas Padjadjaran,Ilmu Administrasi Negara,50
Universitas Padjadjaran,Ilmu Hubungan Internasional,60
Universitas Padjadjaran,Ilmu Kesejahteraan Sosial,40
Universitas Padjadjaran,Ilmu Pemerintahan,50
Universitas Padjadjaran,Antropologi,30
Universitas Padjadjaran,Ilmu Administrasi Bisnis,50
Universitas Padjadjaran,Sastra Indonesia,50
Universitas Padjadjaran,Sastra Sunda,35
Universitas Padjadjaran,Ilmu Sejarah,35
Universitas Padjadjaran,Sastra Inggris,50
Universitas Padjadjaran,Sastra Perancis,35
Universitas Padjadjaran,Sastra Jepang,50
Universitas Padjadjaran,Sastra Rusia,35
Universitas Padjadjaran,Sastra Jerman,35
Universitas Padjadjaran,Sastra Arab,70
Universitas Padjadjaran,Ilmu Komunikasi,60
Universitas Padjadjaran,Ilmu Perpustakaan,60
Universitas Padjadjaran,Sosiologi,30
Universitas Padjadjaran,Ilmu Politik,30
Universitas Padjadjaran,Hubungan Masyarakat,40
Universitas Padjadjaran,Ekonomi Islam,40
Universitas Padjadjaran,Manajemen Komunikasi,40
Universitas Padjadjaran,Jurnalistik,40
Universitas Padjadjaran,Televisi Dan Film,40
Universitas Padjadjaran,Bisnis Digital,35
Universitas Padjadjaran,Administrasi Bisnis Psdku Pangandaran,30
Universitas Padjadjaran,Ilmu Komunikasi Psdku Pangandaran,30
Universitas Pendidikan Indonesia,Administrasi Pendidikan,36
Universitas Pendidikan Indonesia,Bimbingan Dan Konseling,41
Universitas Pendidikan Indonesia,Pendidikan Masyarakat,41
Universitas Pendidikan Indonesia,Pendidikan Khusus,41
Universitas Pendidikan Indonesia,Teknologi Pendidikan,36
Universitas Pendidikan Indonesia,Psikologi,43
Universitas Pendidikan Indonesia,Pkn,45
Universitas Pendidikan Indonesia,Pendidikan Sejarah,45
Universitas Pendidikan Indonesia,Pendidikan Geografi,45
Universitas Pendidikan Indonesia,Ilmu Pendidikan Agama Islam,45
Universitas Pendidikan Indonesia,Manajemen Resort Dan Leisure,45
Universitas Pendidikan Indonesia,Manajemen Pemasaran Pariwisata,45
Universitas Pendidikan Indonesia,Manajemen Industri Katering,45
Universitas Pendidikan Indonesia,Pendidikan Bhs.Dan Sastra Indonesia,61
Universitas Pendidikan Indonesia,Pendidikan Bahasa Sunda,59
Universitas Pendidikan Indonesia,Pendidikan Bahasa Inggris,34
Universitas Pendidikan Indonesia,Pendidikan Bahasa Arab,41
Universitas Pendidikan Indonesia,Pendidikan Bahasa Jepang,52
Universitas Pendidikan Indonesia,Pendidikan Bahasa Jerman,36
Universitas Pendidikan Indonesia,Pendidikan Bahasa Perancis,36
Universitas Pendidikan Indonesia,Pendidikan Seni Rupa Dan Kerajinan,54
Universitas Pendidikan Indonesia,Pendidikan Seni Tari,68
Universitas Pendidikan Indonesia,Pendidikan Seni Musik,54
Universitas Pendidikan Indonesia,Bahasa Dan Sastra Inggris,36
Universitas Pendidikan Indonesia,Bahasa Dan Sastra Indonesia,41
Universitas Pendidikan Indonesia,Pendidikan Kesejahteraan Keluarga,27
Universitas Pendidikan Indonesia,Pendidikan Tata Boga,27
Universitas Pendidikan Indonesia,Pendidikan Tata Busana,27
Universitas Pendidikan Indonesia,Pendidikan Kepelatihan Olahraga,59
Universitas Pendidikan Indonesia,Pend. Jasmani Kesehatan & Rekreasi (Pjkr),77
Universitas Pendidikan Indonesia,Pendidikan Akuntansi,45
Universitas Pendidikan Indonesia,Pendidikan Bisnis,45
Universitas Pendidikan Indonesia,Pendidikan Manajemen Perkantoran,45
Universitas Pendidikan Indonesia,Pendidikan Ekonomi,45
Universitas Pendidikan Indonesia,Manajemen,45
Universitas Pendidikan Indonesia,Akuntansi,45
Universitas Pendidikan Indonesia,Perpustakaan Dan Informasi,41
Universitas Pendidikan Indonesia,Pendidikan Ips,45
Universitas Pendidikan Indonesia,Pendidikan Sosiologi,45
Universitas Pendidikan Indonesia,Pgsd Pend. Jasmani Kampus Bumi Siliwangi,59
Universitas Pendidikan Indonesia,Pgsd Kampus Cibiru,117
Universitas Pendidikan Indonesia,Pgpaud Kampus Cibiru,45
Universitas Pendidikan Indonesia,Pgsd Kampus Sumedang,68
Universitas Pendidikan Indonesia,Pgsd Pendidikan Jasmani Kampus Sumedang,68
Universitas Pendidikan Indonesia,Pgsd Kampus Purwakarta,81
Universitas Pendidikan Indonesia,Pgsd Kampus Tasikmalaya,102
Universitas Pendidikan Indonesia,Pgsd Kampus Serang,90
Universitas Pendidikan Indonesia,Pgsd Kampus Bumi Siliwangi,72
Universitas Pendidikan Indonesia,Pgpaud Kampus Bumi Siliwangi,41
Universitas Pendidikan Indonesia,Ilmu Komunikasi,41
Universitas Pendidikan Indonesia,Pgpaud Kampus Serang,45
Universitas Pendidikan Indonesia,Ilmu Ekonomi Dan Keuangan Islam,41
Universitas Pendidikan Indonesia,Pgpaud Kampus Tasikmalaya,61
Universitas Pendidikan Indonesia,Pgpaud Kampus Purwakarta,45
Universitas Pendidikan Indonesia,Pendidikan Bahasa Korea,36
Universitas Pendidikan Indonesia,Kewirausahaan Kampus Tasikmalaya,61
Universitas Pendidikan Indonesia,Sains Informasi Geografi,45
Universitas Pendidikan Indonesia,Desain Komunikasi Visual,45
Isbi Bandung,Tari,35
Isbi Bandung,Karawitan,50
Isbi Bandung,Teater,40
Isbi Bandung,Seni Murni,18
Isbi Bandung,Antropologi Budaya,40
Universitas Islam Negeri Sunan Gunung Djati,Sosiologi,108
Universitas Islam Negeri Sunan Gunung Djati,Ilmu Hukum,54
Universitas Islam Negeri Sunan Gunung Djati,Manajemen,72
Universitas Islam Negeri Sunan Gunung Djati,Administrasi Publik,90
Universitas Islam Negeri Sunan Gunung Djati,Ilmu Kom. Konst. Humas,36
Universitas Islam Negeri Sunan Gunung Djati,Ilmu Kom. Konst. Jurnalistik,64
Universitas Islam Negeri Sunan Gunung Djati,Bahasa Dan Sastra  Inggris,96
Universitas Islam Negeri Sunan Gunung Djati,Psikologi,72
Universitas Islam Negeri Sunan Gunung Djati,Ilmu Politik,36
Universitas Siliwangi,Pendidikan Luar Sekolah,72
Universitas Siliwangi,Pendidikan Ekonomi,72
Universitas Siliwangi,Pendidikan Geografi,72
Universitas Siliwangi,Pendidikan Sejarah,48
Universitas Siliwangi,"Pendidikan Jasmani, Kesehatan Dan Rekreasi ",144
Universitas Siliwangi,Ekonomi Pembangunan,96
Universitas Siliwangi,Manajemen,96
Universitas Siliwangi,Akuntansi,72
Universitas Siliwangi,Ekonomi Syariah,72
Universitas Siliwangi,Ilmu Politik,48
Universitas Siliwangi,Pendidikan Bahasa Dan Sastra Indonesia,72
Universitas Siliwangi,Pendidikan Bahasa Inggris ,90
Universitas Islam Negeri Jakarta,Akuntansi,70
Universitas Islam Negeri Jakarta,Ilmu Ekonomi Dan Studi Pembangunan,32
Universitas Islam Negeri Jakarta,Ilmu Hubungan Internasional,48
Universitas Islam Negeri Jakarta,Ilmu Hukum,48
Universitas Islam Negeri Jakarta,Ilmu Perpustakaan,64
Universitas Islam Negeri Jakarta,Jurnalistik,32
Universitas Islam Negeri Jakarta,Manajemen,48
Universitas Islam Negeri Jakarta,Ilmu Politik,32
Universitas Islam Negeri Jakarta,Kesejahteraan Sosial,48
Universitas Islam Negeri Jakarta,Psikologi,80
Universitas Islam Negeri Jakarta,Sosiologi,32
Universitas Islam Negeri Jakarta,Bahasa Dan Sastra Inggris,64
Universitas Negeri Jakarta,Teknologi Pendidikan,40
Universitas Negeri Jakarta,Pendidikan Khusus,60
Universitas Negeri Jakarta,Manajemen Pendidikan,40
Universitas Negeri Jakarta,Pendidikan Masyarakat,40
Universitas Negeri Jakarta,Pend. Guru Paud,40
Universitas Negeri Jakarta,Bimbingan & Konseling,40
Universitas Negeri Jakarta,Pendidikan Guru Sekolah Dasar,120
Universitas Negeri Jakarta,Psikologi,80
Universitas Negeri Jakarta,Pendidikan Bahasa Indonesia,25
Universitas Negeri Jakarta,Sastra Indonesia,30
Universitas Negeri Jakarta,Pendidikan Bahasa Inggris,25
Universitas Negeri Jakarta,Sastra Inggris,25
Universitas Negeri Jakarta,Pendidikan Bahasa Prancis,23
Universitas Negeri Jakarta,Pendidikan Bahasa Jerman,25
Universitas Negeri Jakarta,Pendidikan Bahasa Arab,60
